original_name,tiba_name,tiba_slug,category,emporium_id,image_filename,material,origin,dimensions,thickness,description
Guinness Red,Rosso Imperiale,rosso-imperiale,Marble,73,Guiness_Red_Marmer.jpg,Marble,Turkey,,,A deep red marble with rich burgundy tones and white veining. Bold and sanguine with the confidence of aged wine.
Rossa Portogallo,Rosso Lusitano,rosso-lusitano,Marble,163,Juparana_White_1.jpg,Marble,Portugal,+/- 263 x 152 cm,2cm,A warm rose-red marble from Portugal with golden undertones and lively veining. Atlantic warmth captured in Iberian stone.
Spring Rose,Rosa Primavera,rosa-primavera,Marble,72,Spring_Rose_Marmer.jpg,Marble,Turkey,,,A delicate pink marble with the freshness of spring blossoms. Soft and feminine with gentle veining like flower petals.
Rojo Alicante,Rosso d'Alicante,rosso-dalicante,Marble,70,product-marble-red-large-2.jpg,Marble,Spain,,,A vivid red marble from the Spanish coast with cream fossil fragments and white veining. The warmth of the Mediterranean sun in stone.
Tea Rose,Rosa del Tè,rosa-del-te,Marble,164,Tea_Rose_Marmer.jpg,Marble,Turkey,,,A soft rose marble with warm pink-beige tones reminiscent of Earl Grey afternoons. Refined and comforting with understated beauty.
Roso Levanto,Rosso Levanto Magnifico,rosso-levanto-magnifico,Marble,69,product-marble-red-large-1.jpg,Marble,Italy,,,A magnificent deep red marble from the Italian Riviera with dramatic white and green veining. One of Italy's most passionate stones.
Palissandro Bluette Polished,Palissandro Bluette Lucido,palissandro-bluette-lucido,Marble,405,,Marble,Italy,+/- 300 x 166cm,2cm,A rare blue-toned Palissandro marble with a polished finish revealing linear veining in steel blue and grey. Cool sophistication of the highest order.
Palissandro Bluette Leather,Palissandro Bluette Cuoio,palissandro-bluette-cuoio,Marble,404,,Marble,Italy,+/- 298 x 143cm,2cm,A leathered finish Palissandro in distinctive blue-grey tones with tactile matte texture. Where visual beauty meets sensory experience.
Fendi Blue,Blu Fendi,blu-fendi,Marble,366,,Marble,Turkey,,± 2cm,A rich blue-grey marble with the sophistication of Italian high fashion. Deep tonal complexity with an unmistakable couture sensibility.
Celeste Blue,Celeste Azzurro,celeste-azzurro,Marble,336,celeste_blue.jpg,Marble,Turkey,"3,080 x 1,930 cm",± 2cm,A heavenly blue marble with soft grey undertones and gentle veining. The colour of a clear Mediterranean sky at dawn.
Blue Roma,Roma Azzurra,roma-azzurra,Marble,332,blue_roma_4.jpg,Marble,Turkey,"± 3,01 x 1,76 cm",± 2cm,A rich blue marble with warm grey undertones evoking the twilight sky over the Eternal City. Romantic and deeply atmospheric.
King Blue,Blu Reale,blu-reale,Marble,77,King_Blue_Marmer1.jpg,Marble,Turkey,,,A commanding blue marble of royal intensity with white veining. The sovereign of blue natural stones.
Palisandro Nuvolato,Palissandro Nuvola,palissandro-nuvola,Marble,89,Palisandro_Nuvolato_Marmer.jpg,Marble,Italy,,,A cloud-like Palissandro marble with flowing blue-grey and brown tones. Gentle and atmospheric like an Italian mountain sky.
Palisandro Bronzo,Palissandro Bronzato,palissandro-bronzato,Marble,88,palisandro_bronzo_2.jpg,Marble,Italy,,,A warm bronze-toned Palissandro with linear veining in brown and gold. Rich metallic warmth with classical Italian lineage.
Blue Ocean,Oceano Blu,oceano-blu,Marble,280,Blue_Ocean_1.jpg,Marble,Turkey,,,A deep blue marble with swirling white veining like ocean waves cresting in sunlight. The vast Atlantic captured in polished stone.
Blue Crystal,Cristallo Blu,cristallo-blu,Marble,249,BLUE_CRYSTAL_2.jpg,Marble,Turkey,,,A brilliant blue marble with crystalline clarity and white veining. Translucent depths that shimmer like a mountain glacier.
Blue Roma Bookmatch,Roma Azzurra Specchio,roma-azzurra-specchio,Marble,333,blue_roma_bookmatch.jpg,Marble,Turkey,"± 3,01 x 1,76 cm",± 2cm,A bookmatched Blue Roma creating mesmerizing symmetrical patterns in deep blue and grey. Architectural drama doubled through mirror matching.
Blue Lagoon,Laguna Blu,laguna-blu,Marble,313,Blue_Lagoon.jpg,Marble,Turkey,"± 3,00 x 1,81 cm",± 2cm,A dreamy blue marble with soft turquoise undertones evoking tropical waters. Escapist beauty for luxurious bathing spaces.
Azul Cielo,Azzurro Cielo,azzurro-cielo,Marble,304,azul_cielo_edt2.jpg,Marble,Brazil,"± 3,060 x 1,900 cm",± 2cm,A celestial blue marble with soft white clouds of veining drifting across its surface. The sky made solid and brought indoors.
Blue Ondulato,Ondulato Zaffiro,ondulato-zaffiro,Marble,342,Blue_Ondulato.png,Marble,Turkey,,,A blue marble with distinctive undulating wave patterns creating rhythmic visual movement. The sea in perpetual motion frozen in stone.
Azul Calsite,Azzurro Calcite,azzurro-calcite,Marble,148,IMG20221012134612.jpg,Marble,Brazil,"+/- 3,100 x 1,860 cm",2cm,A striking blue marble with bold calcite formations creating dramatic white patterns. Geological drama in vivid aquatic tones.
Sky Blue,Cielo Sereno,cielo-sereno,Marble,90,Sky_Blue_Marmer.jpg,Marble,Turkey,,,A gentle sky-blue marble with soft white veining like cirrus clouds. Tranquil and uplifting with a meditative quality.
Crystal Blue,Blu Cristallino,blu-cristallino,Marble,87,Crystal_Blue_Marmer_edt.jpg,Marble,Turkey,,,A clear blue marble with crystalline transparency and prismatic light play. Where water and stone become indistinguishable.
Palisandro Bronzo 2,Palissandro Bronzo Secondo,palissandro-bronzo-secondo,Marble,239,Palisandro_Bronzo_Marmer.jpg,Marble,Italy,,,A second selection of the bronze Palissandro with slightly warmer metallic tones. Linear elegance with aged copper warmth.
Blue Jeans,Blu Denim,blu-denim,Marble,86,Blue_Jeans.png,Marble,Turkey,,,A casual blue marble with the relaxed indigo tones of washed denim. Contemporary cool with natural stone authenticity.
Alcatraz Blue,Alcatraz Azzurro,alcatraz-azzurro,Marble,85,Alcatraz_Blue.png,Marble,Turkey,,,A dramatic blue marble with bold veining creating an island of colour. Captivating intensity that holds the eye prisoner.
Light Emperador,Emperador Chiaro,emperador-chiaro,Marble,124,light_emperador_04.01.23.jpeg,Marble,Turkey,"± 2,620 x 1,350 cm",± 2cm,A warm light brown marble with honey and caramel veining from the noble Emperador family. Sun-warmed elegance with old-world pedigree.
Rainforest,Foresta Pluviale,foresta-pluviale,Marble,75,img-product-marble-brown-2.jpg,Marble,India,,,A rich brown marble with dramatic green and gold veining like a tropical canopy viewed from above. Exotic and untamed natural beauty.
Sky Rivera,Riviera Celeste,riviera-celeste,Marble,292,Sky_rivera.jpg,Marble,Turkey,"+/- 2,400 x 1,600 cm",2 cm,A soft blue-grey marble with warm undertones evoking the French Riviera at dawn. Where sky meets sea in stone form.
Portoro Gold China,Portoro Dorato Orientale,portoro-dorato-orientale,Marble,231,Portoro_Gold_China_edt.jpg,Marble,China,,,A dramatic black marble with bold golden veining inspired by the legendary Italian Portoro. Eastern interpretation of Western luxury.
Rosotika Brown,Rosotika Ambra,rosotika-ambra,Marble,250,ROBOSTIKA_BROWN.jpg,Marble,Turkey,,,A warm amber-brown marble with pink and cream undertones creating a unique rosewood character. Rich and inviting with distinctive personality.
Dark Emperador,Emperador Scuro,emperador-scuro,Marble,74,Dark_Emperador.jpg,Marble,Spain,"± 2,910 x 1,550 cm",± 2cm,A deep chocolate-brown marble from Spain with lighter brown veining and fine fossil detail. The darkest and richest of the Emperador dynasty.
Dior Gold,Dior d'Oro,dior-doro,Marble,339,dior_gold.png,Marble,Turkey,,,A warm golden marble with the refined elegance of haute couture. Honeyed tones with subtle movement create an atmosphere of exclusive luxury.
Antique Brown,Bruno Antico,bruno-antico,Marble,123,Antique_Brown_Marmer.jpg,Marble,Turkey,,,A warm brown marble with aged patina and cream veining suggesting centuries of history. Rustic nobility with artisanal character.
Golden Spider,Ragno d'Oro,ragno-doro,Marble,78,img-product-marble-yellow-1.jpg,Marble,Greece,"± 2,620 x 1,590 cm","± 1,8cm",A striking yellow marble with a web of golden-brown veining radiating across its surface. Precious and dramatic like spun gold.
Giallo Siena,Siena d'Oro,siena-doro,Marble,170,GIALLO_SIENA_MARMER.jpg,Marble,Italy,,,A vivid golden-yellow marble from the Tuscan hills of Siena. The warm amber glow of Italian sunset captured in stone.
Kryptonite,Kryptonite Verde,kryptonite-verde,Marble,399,,Marble,Brazil,+/- 289 x 194cm,± 2cm,A vivid green marble with extraordinary intensity and crystalline formations. Otherworldly beauty that glows with an almost supernatural luminescence.
Prada Green,Verde Couture,verde-couture,Marble,397,,Marble,Italy,+/- 274 x 194cm,± 2cm,A rich green marble with the sophisticated allure of Italian high fashion. Deep emerald tones with refined natural patterning.
Verde Venezia,Verde di Venezia,verde-di-venezia,Marble,371,,Marble,Italy,,± 2cm,A deep green marble evoking the algae-kissed canals of Venice. Rich aquatic tones with white veining like sunlight on water.
Lady Green Marble,Dama Verde,dama-verde,Marble,360,,Marble,India,+/- 178 x 135 cm,,A distinguished green marble with elegant white veining and a feminine grace. Where the forest meets the drawing room.
Long Island,Long Island Verde,long-island-verde,Marble,316,Long_Island.jpeg,Marble,Brazil,,2cm,A green marble with dramatic movement and warm brown undertones. The lush landscapes of the tropics compressed into stone.
Verde Alpi,Verde delle Alpi,verde-delle-alpi,Marble,287,IMG_20220606_095821.jpg,Marble,Italy,,,A deep forest-green marble from the Italian Alps with white serpentine veining. Ancient alpine forests preserved in mineral form.
Verde Patricia,Verde Patricia Nobile,verde-patricia-nobile,Marble,228,Verde_patricia_edt.jpg,Marble,India,,,A rich emerald-green marble with dramatic white veining creating bold contrast. A noble stone of commanding natural presence.
Alexandrina,Alessandrina Verde,alessandrina-verde,Marble,84,Granite-1.jpg,Marble,India,"+/- 2,600 x 1,950 cm",2cm,A dark green marble with fine crystalline texture and subtle lighter veining. Named for the ancient library city with scholarly gravitas.
Arizona Forest,Arizona Silvestre,arizona-silvestre,Marble,105,Arizona_Forez_Marmer_1.jpg,Marble,India,,,A richly veined green-brown marble evoking wild desert forests. Raw natural beauty with untamed geological character.
Rainforest Green,Foresta Verde,foresta-verde,Marble,107,Rainforest_Green_Marmer.jpg,Marble,India,,,A vivid green marble with dramatic darker veining like aerial views of deep jungle. Lush tropical exuberance in polished stone.
Golden Island,Isola d'Oro,isola-doro,Granite,103,,Granite,Brazil,"± 2,970 x 1,990 cm",± 2cm,A warm golden granite with amber and brown crystalline formations. Sun-drenched island beauty in enduring natural stone.
Golden Crystallo,Cristallo Dorato,cristallo-dorato,Granite,295,,Granite,Brazil,"± 3,190 x 1,950 cm",2cm,A sparkling golden granite with brilliant crystalline structure and warm amber tones. Precious metal beauty with the permanence of stone.
Titanium Black,Titanio Nero,titanio-nero,Granite,369,,Granite,Brazil,,± 2cm,An intensely dark granite with the metallic sheen of its industrial namesake. Virtually indestructible with a brooding sculptural presence.
Golden Himalaya,Himalaya d'Oro,himalaya-doro,Granite,259,,Granite,India,"± 2,890 x 1,930 cm",± 2cm,A warm golden granite with the majesty of the world's highest peaks. Rich amber tones with darker mineral inclusions.
Blue Galaxy,Galassia Blu,galassia-blu,Granite,21,,Granite,India,"+/- 3,030 x 1,690 cm",2cm,A deep blue-black granite scattered with brilliant metallic blue crystals like distant stars. The cosmos brought down to earth.
Titanium,Titanio Puro,titanio-puro,Granite,273,,Granite,Brazil,"+/- 3,300 x 1,990 cm",2cm,A powerful dark granite with metallic lustre and extraordinary density. Modern industrial strength meets natural geological beauty.
Breccia Imperiale,Breccia dell'Impero,breccia-dellimpero,Granite,307,,Granite,Brazil,"± 3,100 x 1,950 cm",± 2cm,A dramatic granite with bold fragmented patterns in warm golden and brown tones. Geological upheaval preserved as decorative art.
Diamond Galaxy Leather,Galassia Diamante Cuoio,galassia-diamante-cuoio,Granite,373,,Granite,India,+/- 324 x 204cm,± 2cm,A dark granite with diamond-like crystalline sparkle and a tactile leathered finish. Where celestial beauty meets earthly texture.
Angola Grey,Angola Grigio,angola-grigio,Granite,240,,Granite,Angola,,± 2cm,A consistent medium-grey granite with fine even grain and subtle sparkle. African stone of quiet strength and reliable beauty.
Titanium Gold,Titanio Oro,titanio-oro,Granite,300,,Granite,Brazil,,± 2cm,A dramatic granite combining dark titanium base with golden mineral highlights. Where industrial strength meets precious metal opulence.
Nero India Brushed,Nero India Spazzolato,nero-india-spazzolato,Granite,136,,Granite,India,"+/- 2,680 x 1,890 cm",2 cm,A deep black Indian granite with a brushed finish revealing subtle texture. Absolute darkness given tactile dimension.
Nero India Flamed,Nero India Fiammato,nero-india-fiammato,Granite,137,,Granite,India,"+/- 1,000 x 2,200 cm",2cm,A jet-black granite with a flamed textured surface creating subtle visual movement. Raw volcanic energy tamed for architectural use.
Diamond White,Diamante Bianco,diamante-bianco,Granite,226,,Granite,India,,,A luminous white granite with sparkling crystalline inclusions that catch the light. Diamond-like brilliance in natural stone form.
Cynatius,Cinazio Reale,cinazio-reale,Granite,101,,Granite,Brazil,,,A distinctive granite with rich warm tones and bold mineral patterning. Unique character that defies easy categorization.
Antique Brown Granite,Bruno Antico Granito,bruno-antico-granito,Granite,266,,Granite,Brazil,,,A warm brown granite with aged patina-like colouring and varied mineral content. Rustic warmth with enduring granite strength.
Multicolor Red Extra,Rosso Multicolore Extra,rosso-multicolore-extra,Granite,264,,Granite,India,,,An extraordinary granite with vibrant red and multicoloured mineral formations. Bold and expressive for daring design statements.
Black Sea,Mare Nero,mare-nero,Granite,100,,Granite,Turkey,,,A deep black granite with subtle grey undertones evoking the depths of its namesake sea. Mysterious and profound.
Metalicuso,Metallico Fuso,metallico-fuso,Granite,104,,Granite,Brazil,,,A granite with striking metallic appearance and fused mineral formations. Industrial beauty forged in geological furnaces.
Beola Argentata,Beola d'Argento,beola-dargento,Granite,2,,Granite,Italy,,,A silver-grey Italian granite with fine foliated texture and subtle sparkle. Alpine elegance with Mediterranean warmth.
Black Lactea,Lactea Nera,lactea-nera,Granite,24,,Granite,Brazil,,,A dramatic black granite with milky white and cream mineral formations floating like stars in dark space. Via Lactea in stone.
Solarius,Solaris Aureo,solaris-aureo,Granite,28,,Granite,Brazil,,,A warm golden granite with radiant crystalline structure evoking solar energy. The power and warmth of the sun in solid form.
Nacarado,Nacarato Perla,nacarato-perla,Granite,29,,Granite,Brazil,1222 x 1000 cm,,A lustrous granite with a pearlescent nacreous quality and warm beige tones. Mother-of-pearl elegance in granite form.
Bordeoux Red,Bordeaux Rubino,bordeaux-rubino,Granite,22,,Granite,Brazil,,,A rich burgundy granite with the deep warm tones of fine Bordeaux wine. Sophisticated and intoxicating in its depth of colour.
Blue Labradorite,Labradorite Azzurra,labradorite-azzurra,Granite,279,,Granite,Norway,"+/- 2,770 x 1,510 cm",2cm,"A spectacular granite with brilliant blue iridescent feldspar crystals. Mesmerizing optical play that shifts with viewing angle, like northern lights in stone."
Matrix,Matrice Cosmica,matrice-cosmica,Granite,30,,Granite,Brazil,1222 x 1000 cm,,A bold granite with interconnected mineral formations creating a cosmic web pattern. The building blocks of the universe made visible.
Elegant Brown Polished,Bruno Elegante Lucido,bruno-elegante-lucido,Granite,218,,Granite,India,,,A refined brown granite with warm chocolate tones and a mirror-polished finish. Understated luxury with natural depth.
Magma Gold,Magma d'Oro,magma-doro,Granite,31,,Granite,Brazil,1222 x 1000 cm,,A dramatic granite with golden and amber tones flowing like molten volcanic material. Primordial Earth energy captured in crystalline form.
Panorama,Panorama Infinito,panorama-infinito,Granite,25,,Granite,Brazil,"± 3,150 x 1,860 cm",2cm,A sweeping granite with vast colour movement across its surface creating landscape-like vistas. Each slab a geological panorama.
Kormuz,Ormuz Antico,ormuz-antico,Granite,242,,Granite,Brazil,,,A distinctive granite with warm brown and gold tones recalling ancient Persian trade routes. Exotic warmth with historical resonance.
Varde Fantastico,Verde Fantastico,verde-fantastico,Granite,141,,Granite,India,"+/- 2,520 x 1,820 cm",2cm,A green granite with fantastical swirling patterns in emerald and forest tones. Nature's most imaginative stone composition.
Woodstone,Legno Pietrificato,legno-pietrificato,Granite,143,,Granite,India,"± 3,070 x 1,850 cm",± 2cm,A remarkable granite that mimics the grain of aged timber in rich brown and amber tones. Where forest meets quarry in perfect illusion.
Dyna Blue,Dyna Azzurro,dyna-azzurro,Granite,309,,Granite,India,"± 2,730 x 2,010 cm",± 2cm,A vibrant blue granite with dynamic crystalline formations catching light at every angle. Electric energy in natural stone form.
Velvet White,Velluto Bianco,velluto-bianco,Granite,263,,Granite,Brazil,"± 3,110 x 1,900 cm",± 2cm,A soft white granite with a velvety visual texture and subtle cream mineral inclusions. Gentle luxury with granite durability.
Polaris,Polaris Stellare,polaris-stellare,Granite,294,,Granite,Brazil,"± 3,120 x 2,030 cm",2cm,A dramatic granite with bright mineral points scattered across a dark field like the North Star constellation. Navigational beauty in stone.
River White,Fiume Bianco,fiume-bianco,Granite,33,,Granite,India,1222 x 1000 cm,,A gentle white granite with flowing grey and burgundy mineral rivers crossing its surface. Serene movement with subtle colour.
Alpinus White,Alpinus Candido,alpinus-candido,Granite,277,,Granite,Brazil,,,A bright white granite with clean crystalline structure evoking alpine snowfields. Pure and fresh with mountain clarity.
Colonial Gold,Coloniale d'Oro,coloniale-doro,Granite,34,,Granite,India,1222 x 1000 cm,,A warm golden granite with rich amber and brown mineral formations. Old-world warmth with new-world exuberance.
Black Taurus,Toro Nero,toro-nero,Granite,271,,Granite,India,,,A powerful deep black granite with bull-like strength and presence. Absolute darkness with an imposing physicality.
Blue Safir,Zaffiro Blu,zaffiro-blu,Granite,222,,Granite,India,,,A precious blue granite with sapphire-like crystal formations that shimmer in the light. Where the quarry yields gemstone beauty.
Giallo California,California Gialla,california-gialla,Granite,258,,Granite,Brazil,,,A warm golden-yellow granite with the sunny optimism of the California coast. Bright and energetic with natural exuberance.
Black Forest,Selva Nera,selva-nera,Granite,215,,Granite,India,,,A deep green-black granite as dark and mysterious as the legendary forest. Ancient and primordial with hidden depth.
Red Flaminggo,Fenicottero Rosso,fenicottero-rosso,Granite,162,,Granite,Brazil,,,A vivid pink-red granite with the exotic warmth of tropical birds. Bold and expressive with passionate colour.
Splendor White,Splendore Bianco,splendore-bianco,Granite,140,,Granite,India,,,A brilliant white granite of splendid clarity with fine grey mineral formations. Radiant purity with enduring strength.
Elegant Brown,Bruno Raffinato,bruno-raffinato,Granite,102,,Granite,India,,,A refined brown granite with warm chocolate and caramel tones. Sophisticated warmth for timeless interior palettes.
Bianco Antique,Bianco Antiquo,bianco-antiquo,Granite,99,,Granite,Brazil,,,A warm white granite with aged golden and grey mineral patches. Antique character with timeless appeal.
Amazone,Amazzone Tropicale,amazzone-tropicale,Granite,147,,Granite,Brazil,,,A bold green granite with dramatic movement evoking the Amazonian rainforest. Wild natural beauty channelled into architectural stone.
Nero WaterJet,Nero Getto d'Acqua,nero-getto-dacqua,Granite,144,,Granite,India,"± 0,930 x 2,600 cm",2cm,A jet-black granite with a water-jet cut finish creating subtle surface texture. Pure darkness with tactile refinement.
Arctic Blue,Artico Blu,artico-blu,Granite,224,,Granite,Brazil,"+/- 3,370 x 1,580 cm",2 cm,A cool blue granite with icy mineral formations evoking frozen northern seas. Glacial beauty with crystalline clarity.
Viscone White,Visconte Bianco,visconte-bianco,Granite,142,,Granite,India,,,A noble white granite with flowing grey and burgundy mineral rivers. Aristocratic bearing with natural geological artistry.
Butterfly Green,Farfalla Verde,farfalla-verde,Granite,257,,Granite,Brazil,,,A vivid green granite with wing-like mineral formations in emerald and gold. Delicate beauty in robust stone form.
Cristallo Del Mare,Cristallo Marino,cristallo-marino,Granite,293,,Granite,Brazil,"+/- 3,220 X 1,990 cm",2cm,A sparkling granite with sea-inspired blue and green crystalline formations. The depths of the ocean rendered in stone.
Splendor Silver,Splendore Argento,splendore-argento,Granite,139,,Granite,India,,,A luminous silver granite with fine crystalline sparkle across its surface. Moonlit elegance with enduring natural strength.
Splendor Gold,Splendore Oro,splendore-oro,Granite,138,,Granite,India,,,A radiant golden granite with warm amber crystalline formations. Sunlit opulence in the most durable of natural stones.
Blue Bahia,Bahia Zaffiro,bahia-zaffiro,Granite,290,,Granite,Brazil,"+/- 3,330 x 1,940 cm",2 cm,One of the world's most precious granites with brilliant blue sodalite crystals on a dark ground. Breathtaking rarity from Bahia.
Multicolor Marinace,Marinace Multicolore,marinace-multicolore,Granite,91,,Granite,Brazil,,,A spectacular conglomerate granite with rounded river stones in multiple colours embedded in a natural matrix. Geological art of extraordinary character.
Matrix Corteccia,Matrice Corteccia,matrice-corteccia,Granite,219,,Granite,Brazil,,,A textured granite with bark-like mineral patterns in warm brown and grey tones. Where stone remembers the forest.
Patagonia Multicolor,Patagonia Prismatica,patagonia-prismatica,Quartzite,401,,Quartzite,Brazil,,2cm,A multicoloured quartzite with prismatic mineral formations in warm earth tones. The vast Patagonian landscape compressed into each slab.
Meteo,Meteora Celeste,meteora-celeste,Quartzite,385,,Quartzite,Brazil,+/- 264 x 164cm,± 2cm,A dramatic quartzite with atmospheric movement and celestial patterning. Like watching weather systems from space.
Alaska White,Alaska Boreale,alaska-boreale,Quartzite,382,,Quartzite,Brazil,+/- 300 X 196cm,± 2cm,A pristine white quartzite with the frozen clarity of Alaskan wilderness. Pure and resilient with northern light luminosity.
Ristretto Leather,Ristretto Cuoio,ristretto-cuoio,Quartzite,388,,Quartzite,Brazil,+/- 313 x 196cm,± 2cm,A rich brown quartzite with leathered finish and espresso tones. The concentrated intensity of Italian coffee culture in stone.
Golden Blue,Oro Azzurro,oro-azzurro,Quartzite,39,,Quartzite,Brazil,"± 3,350 x 1,810 cm",± 2cm,A remarkable quartzite blending golden warmth with cool blue mineral veining. Where sunrise meets the sea in geological form.
Ice Lake,Lago Ghiacciato,lago-ghiacciato,Quartzite,153,,Quartzite,Brazil,,± 2cm,A cool white quartzite with icy blue-grey undertones evoking frozen alpine lakes. Crystal clarity with glacial serenity.
Montebello,Montebello Splendido,montebello-splendido,Quartzite,367,,Quartzite,Brazil,,± 2cm,A magnificent quartzite with warm golden tones and dramatic movement. Named for the beautiful mountain with matching grandeur.
Pistaschio,Pistacchio Naturale,pistacchio-naturale,Quartzite,387,,Quartzite,Brazil,+/- 323 x 197cm,± 2cm,A distinctive quartzite with subtle green tones reminiscent of Sicilian pistachios. Fresh and unique with Mediterranean character.
Eternity,Eternità Cristallina,eternita-cristallina,Quartzite,377,,Quartzite,Brazil,+/- 323 x 197 cm,± 2cm,A timeless quartzite of extraordinary clarity and enduring beauty. Created over aeons with a permanence worthy of its name.
London Black,Londra Nera,londra-nera,Quartzite,379,,Quartzite,Brazil,+/- 324 x 194cm,± 2cm,A sophisticated dark quartzite with the urbane elegance of the British capital. Deep charcoal tones with metropolitan refinement.
White Crystal Quartz,Cristallo Bianco Puro,cristallo-bianco-puro,Quartzite,381,,Quartzite,Brazil,+/- 245 x 123cm,± 2cm,A brilliantly white quartzite of crystalline purity and remarkable translucency. The purest expression of quartz in architectural stone.
Chantily,Chantilly Crema,chantilly-crema,Quartzite,378,,Quartzite,Brazil,+/- 329 x 190cm,± 2cm,A delicate cream quartzite with the soft sweetness of French Chantilly. Light and airy with gentle warm undertones.
Pink Quartz,Quarzo Rosa,quarzo-rosa,Quartzite,380,,Quartzite,Brazil,+/- 245 x 122cm,± 2cm,A soft pink quartzite with gentle rosy tones and crystalline sparkle. Romantic and feminine with remarkable natural hardness.
Montblanc,Monte Bianco Quarzo,monte-bianco-quarzo,Quartzite,384,,Quartzite,Brazil,+/- 340 x 199cm,± 2cm,A majestic white quartzite with subtle grey veining evoking Europe's highest peak. Alpine purity with geological strength.
Patagonia Green,Patagonia Verde,patagonia-verde,Quartzite,386,,Quartzite,Brazil,+/- 287 x 181cm,± 2cm,A rich green quartzite with dramatic movement evoking Patagonian wilderness. Untamed natural beauty in enduring stone.
Army Green,Verde Militare,verde-militare,Quartzite,395,,Quartzite,Brazil,+/- 315 x 176cm,± 2cm,A robust green quartzite with disciplined patterning and strong presence. Commanding authority with natural camouflage beauty.
Porto Venere,Porto Venere Splendido,porto-venere-splendido,Quartzite,310,,Quartzite,Brazil,"± 3.060 x 1,960 cm",± 3cm,A stunning quartzite named for the jewel of the Italian Riviera. Rich warm tones with dramatic geological movement.
Patagonia Black,Patagonia Nera,patagonia-nera,Quartzite,305,,Quartzite,Brazil,,± 2cm,A dark dramatic quartzite with the wild intensity of Patagonian nights. Deep and powerful with untamed geological energy.
Sky Glass,Vetro Celeste,vetro-celeste,Quartzite,356,,Quartzite,Brazil,,,A translucent quartzite with sky-blue clarity and glass-like luminosity. Where stone transcends its earthly nature.
Patagonia White,Patagonia Bianca,patagonia-bianca,Quartzite,357,,Quartzite,Brazil,,,A bright white quartzite with the vastness of Patagonian snowfields. Clean and expansive with natural mineral warmth.
Oyster Green,Ostrica Verde,ostrica-verde,Quartzite,306,,Quartzite,Brazil,"± 3,110 x 1,810 cm",± 2cm,A subtle green quartzite with the pearlescent quality of oyster shells. Organic beauty with iridescent depth.
Super White,Bianco Supremo,bianco-supremo,Quartzite,237,,Quartzite,Brazil,,,An exceptionally white quartzite of supreme purity and clarity. The ultimate white stone for uncompromising design visions.
Nevel Grey,Nebbia Grigia,nebbia-grigia,Quartzite,243,,Quartzite,Brazil,,,A misty grey quartzite with soft atmospheric quality and gentle tonal variation. Like walking through morning fog.
Taj Mahal,Taj Mahal Quarzo,taj-mahal-quarzo,Quartzite,244,,Quartzite,Brazil,"± 3,210 x 1,860 cm",± 3cm,A warm cream quartzite with golden veining evoking the world's most famous monument. Eternal beauty in natural stone form.
Azurite,Azzurrite Splendida,azzurrite-splendida,Quartzite,276,,Quartzite,Brazil,,,A vivid blue quartzite with intense mineral coloration and dramatic depth. Semi-precious beauty at architectural scale.
Bianco Espere,Bianco Speranza,bianco-speranza,Quartzite,278,,Quartzite,Brazil,"± 2,970 x 1,860 cm",± 2cm,A hopeful white quartzite with gentle movement and warm undertones. Clean beauty with quiet optimism.
Bianco Superior,Bianco Superiore,bianco-superiore,Quartzite,35,,Quartzite,Brazil,,,A premium white quartzite of exceptional quality and consistent tone. Superior in name and nature for demanding installations.
Botanical Green,Verde Botanico,verde-botanico,Quartzite,36,,Quartzite,Brazil,,,A lush green quartzite with organic patterns evoking tropical botanical gardens. Where geology and botany converge beautifully.
Opus White,Opus Bianco,opus-bianco,Quartzite,155,,Quartzite,Brazil,"± 3,290 x 1,690 cm",± 2cm,A refined white quartzite with subtle grey veining creating masterwork patterns. Each slab a geological opus of natural artistry.
Malbec,Malbec Profondo,malbec-profondo,Quartzite,154,,Quartzite,Brazil,,,A deep burgundy quartzite with the rich intensity of Argentine Malbec wine. Intoxicating depth for bold interior statements.
Da Vinci Green,Da Vinci Verde,da-vinci-verde,Quartzite,152,,Quartzite,Brazil,,,A green quartzite worthy of the Renaissance master with complex layered colouring. Genius-level geological composition.
Patagonia,Patagonia Naturale,patagonia-naturale,Quartzite,156,,Quartzite,Brazil,,,A warm earth-toned quartzite with the vast character of the South American wilderness. Raw and authentic with natural mineral beauty.
Crytos,Cripto Minerale,cripto-minerale,Quartzite,151,,Quartzite,Brazil,"± 3,170 x 1,970 cm",± 2cm,A mysterious quartzite with hidden mineral depths that reveal themselves under changing light. Encrypted beauty in crystalline form.
Cristallo Tropical,Cristallo Tropicale,cristallo-tropicale,Quartzite,150,,Quartzite,Brazil,,,A sparkling quartzite with warm tropical colouring and crystalline clarity. Brazilian sunshine captured in geological splendour.
Thannos,Thanos Titanico,thanos-titanico,Quartzite,158,,Quartzite,Brazil,,,A powerful quartzite of extraordinary presence and dark intensity. Commanding and inevitable in its visual dominance.
Blue Ondulato Quartzite,Ondulato Quarzo Blu,ondulato-quarzo-blu,Quartzite,149,,Quartzite,Brazil,"± 3,150 x 1,850 cm",± 2cm,An undulating blue quartzite with wave-like mineral patterns creating mesmerizing movement. The ocean's rhythm in crystalline stone.
White Macaubas,Macaubas Bianco,macaubas-bianco,Quartzite,161,,Quartzite,Brazil,,,A luminous white quartzite from Brazil's Macaubas region with subtle grey veining. Pure Brazilian beauty with exceptional durability.
